Region, District No, District, School No, NCES School Number, School, Email, Title, Status, School Type, Address, Address2, Address3, Address4, City, State, Zipcode, Zip+4, Phone1, Phone2, Fax, Grade Levels, Categories
EAST TENNESSEE CORE REGIONAL OFFICE,620,MONROE COUNTY,18,4.70E+11,Madisonville Intermediate School,Mosert@MONROE.K12.TN.US,Principal: Terry Moser,A,Public,1000 Green RD,,,,Madisonville,TN,37354,,(423) 442-2454,,(423) 442-1534,"3,4,5",
EAST TENNESSEE CORE REGIONAL OFFICE,51,ALCOA,6,4.70E+11,Alcoa Middle School,clong@alcoaschools.net,Principal: Chelsie Long,A,Public,532 Faraday ST,,,,Alcoa,TN,37701,,(865) 982-5211,,(865) 380-2533,"6,7,8",
EAST TENNESSEE CORE REGIONAL OFFICE,621,SWEETWATER,30,4.70E+11,Sweetwater Primary School,katrina.gravitte@scstn.net,Principal: Katrina Gravitte,A,Public,500 Highway 322 East ,,,,Sweetwater,TN,37874,,(423) 351-7004,,(423) 351-7089,"PK,K,1,2",
EAST TENNESSEE CORE REGIONAL OFFICE,780,SEVIER COUNTY,12,4.70E+11,Boyds Creek Elementary School,tinacogan@sevier.org,Principal: Mrs. Tina Cogan,A,Public,1729 Indian Warpath ,,,,Sevierville,TN,37876,,(865) 774-8285,,(865) 429-2083,"K,1,2,3,4,5,6",
EAST TENNESSEE CORE REGIONAL OFFICE,730,ROANE COUNTY,14,4.70E+11,Harriman Middle School,lnsmith@roaneschools.com,Principal: Leslie Smith,A,Public,1025 Cumberland ST,,,,Harriman,TN,37748,,(865) 882-1727,,(865) 882-6285,"6,7,8",
EAST TENNESSEE CORE REGIONAL OFFICE,290,GRAINGER COUNTY,18,4.70E+11,Rutledge Elementary School,timcollins@gcs123.net,Principal: Tim Collins,A,Public,7480 Rutledge PIKE,,,,Rutledge,TN,37861,,(865) 828-5530,,(865) 828-5797,"2,3,4,5,6",
EAST TENNESSEE CORE REGIONAL OFFICE,730,ROANE COUNTY,28,4.70E+11,Bowers Elementary,jrittenhouse@roaneschools.com,Principal: Jessica Rittenhouse,A,Public,120 Breazeale ST,,,,Harriman,TN,37748,,(865) 882-1185,,(865) 882-3203,"K,1,2,3,4,5",
EAST TENNESSEE CORE REGIONAL OFFICE,50,BLOUNT COUNTY,22,4.70E+11,Carpenters Elementary School,Derrick.Crabtree@blountk12.org,Principal: Derrick Crabtree,A,Public,915 Huffstetler RD,,,,Maryville,TN,37803,,(865) 980-1490,,(865) 980-1495,"PK,K,1,2,3,4,5",
EAST TENNESSEE CORE REGIONAL OFFICE,450,JEFFERSON COUNTY,7001,4.70E+11,Dandridge Head Start,khaag@jcboe.net,Principal: Kandace Hagg/Cheri Kimery,A,Pre-Kindergarten Program,546 Patriot DR,,,,Jefferson City,TN,37760,,(865) 397-6390,,,"P4,P3",
EAST TENNESSEE CORE REGIONAL OFFICE,470,KNOX COUNTY,7001,4.70E+11,"Montgomery Village Child Development Center, Inc.",,Principal: Mr. Daniel Hazlitt,A,Pre-Kindergarten Program,1600 Willoughby RD,,,,Knoxville,TN,37920,,(865) 577-0123,,,"P4,P3",
EAST TENNESSEE CORE REGIONAL OFFICE,780,SEVIER COUNTY,7001,4.70E+11,Douglas Dam Head Start,,Principal: K. Dawn Baxley,A,Pre-Kindergarten Program,1395 Douglas Dam RD,,,,Sevierville,TN,37876,,(865) 428-5010,,,"P4,P3",
EAST TENNESSEE CORE REGIONAL OFFICE,620,MONROE COUNTY,58,4.70E+11,Vonore Middle School,conleym@monroe.k12.tn.us,Principal: Matt Conley,A,Public,414 Hall ST,,,,Vonore,TN,37885,,(423) 884-2730,,(423) 884-2731,"5,6,7,8",
EAST TENNESSEE CORE REGIONAL OFFICE,470,KNOX COUNTY,2,4.70E+11,Amherst Elementary School,trina.spista@knoxschools.org,Principal: Trina Spista,A,Public,5101 Schaad RD,,,,Knoxville,TN,37931,,(865) 560-7001,,(865) 560-7005,"PK,K,1,2,3,4,5",
EAST TENNESSEE CORE REGIONAL OFFICE,450,JEFFERSON COUNTY,13,4.70E+11,Jefferson County Adult High School,mstrange@jcboe.net,Principal: Michael Strange,A,Public,201 Dumplin Valley W ,,,,Jefferson City,TN,37760,,(865) 397-9385,,(865) 397-8471,"11,12",
EAST TENNESSEE CORE REGIONAL OFFICE,730,ROANE COUNTY,95,4.70E+11,Dyllis Springs Elementary,kbridges@roaneschools.com,Principal: Kimberly Bridges,A,Public,120 Ollis RD,,,,Oliver Springs,TN,37840,,,,,"P3,P4,1,2,3,4,5",
EAST TENNESSEE CORE REGIONAL OFFICE,10,ANDERSON COUNTY,105,4.70E+11,Clinch River Community School,dleach@acs.ac,Principal: Darren Leach,A,Public,160 Maverick CIR,,,,Clinton,TN,37716,,(865) 457-7462,,(865) 457-6546,"K,1,2,3,4,5,6,7,8,9,10,11,12",
EAST TENNESSEE CORE REGIONAL OFFICE,870,UNION COUNTY,57,4.70E+11,Paulette Elementary School,baileyj@ucps.org,Principal: Mr. Jason Bailey,A,Public,1001 Maynardville ,,,,Maynardville,TN,37807,,,,(865) 745-0518,"K,1,2,3,4,5",
EAST TENNESSEE CORE REGIONAL OFFICE,470,KNOX COUNTY,336,4.70E+11,Northshore Elementary School,keith.cottrell@knoxschools.org,Principal: Keith Cottrell,A,Public,1889 Thunderhead RD,,,,Knoxville,TN,37922,,,,,"PK,K,1,2,3,4,5",
EAST TENNESSEE CORE REGIONAL OFFICE,780,SEVIER COUNTY,30,4.70E+11,Northview Senior Academy,travisfranklin@sevier.org,Principal: Mr. Travis Franklin,A,Public,2719 Northview Academy LN,,,,Kodak,TN,37764,,,,,"10,11,12",
EAST TENNESSEE CORE REGIONAL OFFICE,10,ANDERSON COUNTY,7001,4.70E+11,Anderson County Head Start / Preschool,shaun@acs.ac,Principal: Shelby Haun,A,Pre-Kindergarten Program,708 N. Main ST,,,,Clinton,TN,37716,,(865) 463-2833,,,P3,
EAST TENNESSEE CORE REGIONAL OFFICE,50,BLOUNT COUNTY,7001,4.70E+11,Eagleton 1 Head Start,,Principal: Judy Kennedy,A,Pre-Kindergarten Program,2610 Cinema DR,,,,Maryville,TN,37804,,(865) 982-0608,,,"P4,P3",
EAST TENNESSEE CORE REGIONAL OFFICE,50,BLOUNT COUNTY,138,4.70E+11,Union Grove Elementary School,Kristy.Brewer@blountk12.org,Principal: Kristy Brewer,A,Public,330 South Old Grey Ridge RD,,,,Friendsville,TN,37737,,(865) 980-1515,,(865) 980-1520,"PK,K,1,2,3,4,5",
EAST TENNESSEE CORE REGIONAL OFFICE,780,SEVIER COUNTY,13,4.70E+11,Catlettsburg Elementary School,kimconrad@sevier.org,Principal: Kim Conrad†,A,Public,1409 Catlettsburg RD,,,,Sevierville,TN,37876,,,,(865) 428-2464,"K,1,2,3,4,5,6",
EAST TENNESSEE CORE REGIONAL OFFICE,470,KNOX COUNTY,126,4.70E+11,Hardin Valley Academy,rob.speas@knoxschools.org,Principal: Robert Speas,A,Public,11345 Hardin Valley RD,,,,Knoxville,TN,37932,,(865) 690-9690,,(865) 690-9260,"9,10,11,12",
EAST TENNESSEE CORE REGIONAL OFFICE,290,GRAINGER COUNTY,8,4.70E+11,Grainger High School,ctate@gcs123.net,Principal: Chad Tate,A,Public,2201 Hwy 11 W South ,,,,Rutledge,TN,37861,,,,(865) 828-4828,"9,10,11,12",
EAST TENNESSEE CORE REGIONAL OFFICE,290,GRAINGER COUNTY,23,4.70E+11,Rutledge Middle School,lynnjones@gcs123.net,Principal: Lynn Jones,A,Public,140 Pioneer DR,,,,Rutledge,TN,37861,,(865) 828-3366,,(865) 828-3364,"7,8",
EAST TENNESSEE CORE REGIONAL OFFICE,70,CAMPBELL COUNTY,77,4.70E+11,LaFollette Elementary School,Bob.Walden@ccpstn.net,Principal: Bob Walden,A,Public,195 Myers LN ,,,,LaFollette,TN,37766,,,,(423) 566-3432,"PK,K,1,2,3,4,5",
EAST TENNESSEE CORE REGIONAL OFFICE,290,GRAINGER COUNTY,32,4.70E+11,Grainger Academy,kcombs@gcs123.net,Principal: Mr. Kip Combs,A,Public,232 Pioneer DR,,,,Rutledge,TN,37861,,,,(865) 828-6337,"9,10,11,12",
EAST TENNESSEE CORE REGIONAL OFFICE,780,SEVIER COUNTY,52,4.70E+11,Gary Hardin Academy,kevinhurst@sevier.org,Principal: Kevin Hurst,A,Public,2540 Boyds Creek RD,,,,Sevierville,TN,37876,,,,(865) 428-8947,"6,7,8,9,10,11,12",
EAST TENNESSEE CORE REGIONAL OFFICE,50,BLOUNT COUNTY,160,4.70E+11,Prospect Elementary School,Heather.Byrd@blountk12.org,Principal: Dr.Heather Byrd,A,Public,1535 Burnett Station RD,,,,Seymour,TN,37865,,,,(865) 980-1570,"K,1,2,3,4,5",
EAST TENNESSEE CORE REGIONAL OFFICE,470,KNOX COUNTY,334,4.70E+11,L N STEM Academy,james.allen@knoxschools.org,Principal: Jimm Allen,A,Public,401 Henley ST,,,,Knoxville,TN,37902,,,,(865) 329-8457,"9,10,11,12",
EAST TENNESSEE CORE REGIONAL OFFICE,470,KNOX COUNTY,332,4.70E+11,Dr. Paul L. Kelley Volunteer Academy,meagan.booth@knoxschools.org,Principal: Meagan Booth,A,Public,535 Chickamauga Avenue AVE,,,,Knoxville,TN,37917,,,,(865) 525-2666,"9,10,11,12",
EAST TENNESSEE CORE REGIONAL OFFICE,870,UNION COUNTY,60,4.70E+11,Tennessee Virtual Academy,tchildress@k12.com,Principal: Dr. Tonya Childress,A,Public Virtual School,1924 Dutch Valley DR,,,,Knoxville,TN,37918,,(865) 992-9026,,(865) 992-1211,"K,1,2,3,4,5,6",
EAST TENNESSEE CORE REGIONAL OFFICE,52,MARYVILLE,35,4.70E+11,Coulter Grove Intermediate School,ramona.best@maryville-schools.org,Principal: Dr. Ramona Best,A,Public,2025 Sevierville RD,,,,Maryville,TN,37804,,(865) 982-6345,,(865) 982-6312,"N,4,5,6,7",
EAST TENNESSEE CORE REGIONAL OFFICE,450,JEFFERSON COUNTY,70,4.70E+11,Mount Horeb Elementary School,shollingshead@jcboe.net,Principal: Samuel Hollingshead,A,Public,500 East Dumplin Valley RD,,,,Jefferson City,TN,37760,,(865) 397-9472,,,"PK,1,2,3,4,5",
EAST TENNESSEE CORE REGIONAL OFFICE,870,UNION COUNTY,65,4.70E+11,Elementary Middle Alternative,laura.jones@ucps.org,Principal: Laura Jones,A,Public,635 Main ,,,,Maynardville,TN,37807,,(865) 745-0253,,(865) 745-0753,"K,1,2,3,4,5,6,7,8",
EAST TENNESSEE CORE REGIONAL OFFICE,470,KNOX COUNTY,345,4.70E+11,Career Magnet Academy,charlene.lewis@knoxschools.org,Principal: Charlene Lewis,A,Public,7201 Strawberry Plains PIKE,,,,Knoxville,TN,37914,,(865) 594-1731,,,"9,10,11,12",
EAST TENNESSEE CORE REGIONAL OFFICE,51,ALCOA,12,4.70E+11,Alcoa Intermediate School,tspears@alcoaschools.net,Principal: Tony Spears,A,Public,1325 Springbrook RD,,,,Alcoa,TN,37701,,(865) 982-4767,,(865) 984-9454,"3,4,5",
EAST TENNESSEE CORE REGIONAL OFFICE,470,KNOX COUNTY,8001,4.70E+11,Emerald Academy,carlissa.martin@emeraldcharterschools.org,Principal: Carlissa Martin,A,Public Charter,220 Carrick ST,,,,Knoxville,TN,37921,,,,,"K,1,2,3,4,5,6,7,8",
EAST TENNESSEE CORE REGIONAL OFFICE,70,CAMPBELL COUNTY,155,4.70E+11,Jellico Learning Academy,sandersh@k12tn.net,Principal: Harold Sanders,A,Public,141 High School RD,,,,Jellico,TN,37762,,,,(423) 784-9456,"6,7,8,9,10,11,12",
EAST TENNESSEE CORE REGIONAL OFFICE,70,CAMPBELL COUNTY,160,4.70E+11,East Lafollette Learning Academy,Harold.Sanders@ccpstn.net,Principal: Harold Sanders,A,Public,860 East Chestnut ,,,,LaFollette,TN,37766,,(423) 352-8006,,(423) 352-8006,"6,7,8,9,10,11,12",
EAST TENNESSEE CORE REGIONAL OFFICE,50,BLOUNT COUNTY,31,4.70E+11,Eagleton College and Career Academy,Mark.Dowlen@blountk12.org,Principal: Mark Dowlen,A,Public,2610 Cinema DR,,,,Maryville,TN,37804,,(865) 982-3211,,(865) 982-4203,"6,7,8,9",
EAST TENNESSEE CORE REGIONAL OFFICE,10,ANDERSON COUNTY,4,4.70E+11,Anderson County Innovation Academy,acola@acs.ac,Principal: Jeff Harshbarger,A,Public Virtual School,140 Maverick CIR,,,,Clinton,TN,37716,,(865) 463-4760,,(865) 463-4761,"3,4,5,6,7,8,9,10,11,12",
EAST TENNESSEE CORE REGIONAL OFFICE,780,SEVIER COUNTY,31,4.70E+11,Northview Junior Academy,kevindebow@sevier.org,Principal: Kevin DeBow,A,Public,2719 Northview Academy LN,,,,Kodak,TN,37764,,,,(865) 933-4018,"7,8,9",
EAST TENNESSEE CORE REGIONAL OFFICE,470,KNOX COUNTY,355,4.70E+11,Hardin Valley Middle School,cory.smith@knoxschools.org,Principal: Cory Smith,A,Public,2280 Steele ,,,,Knoxville,TN,37932,,(865) 594-1800,,,"6,7,8",
EAST TENNESSEE CORE REGIONAL OFFICE,470,KNOX COUNTY,148,4.70E+11,KCS Virtual Elementary School,jennifer.garrett@knoxschools.org,Principal: Jennifer L. Garrett,A,Public Virtual School,600 N. Chilhowee DR,,,,Knoxville,TN,37924,,(865) 622-3902,,,"1,2,3,4,5",
EAST TENNESSEE CORE REGIONAL OFFICE,470,KNOX COUNTY,149,4.70E+11,KCS Virtual Middle School,jennifer.garrett@knoxschools.org,Principal: Jennifer Garrett,A,Public Virtual School,2925 Gray Hendrix RD,,,,Knoxville,TN,37931,,(865) 622-3902,,,"6,7,8",
EAST TENNESSEE CORE REGIONAL OFFICE,470,KNOX COUNTY,146,4.70E+11,KCS Virtual High School,jennifer.garrett@knoxschools.org,Principal: Jennifer Garrett,A,Public Virtual School,2925 Gray Hendrix RD,,,,Knoxville,TN,37931,,(865) 622-3902,,,"9,10,11,12",
EAST TENNESSEE CORE REGIONAL OFFICE,780,SEVIER COUNTY,59,4.70E+11,Sevier County Virtual Academy,tonyogle@sevier.org,Principal: Tony Ogle,A,Public Virtual School,226 Cedar ST,,,,Sevierville,TN,37862,,(865) 453-4671,,(865) 522-1497,"K,1,2,3,4,5,6,7,8,9,10,11,12",
EAST TENNESSEE CORE REGIONAL OFFICE,470,KNOX COUNTY,350,4.70E+11,Gibbs Middle School,candace.greer@knoxschools.org,Principal: Candace Greer,A,Public,7625 Tazewell ,,,,Corryton,TN,37721,,(865) 594-1800,,,"6,7,8",
EAST TENNESSEE CORE REGIONAL OFFICE,50,BLOUNT COUNTY,123,4.70E+11,Samuel Everett School of Innovation,justin.ridge@blountk12.org,Principal: Justin Ridge,A,Public,1500 Jett RD,,,,Maryville,TN,37802,,(865) 984-9420,,(865) 984-7189,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12",
EAST TENNESSEE CORE REGIONAL OFFICE,964,TENNESSEE SCHOOLS FOR THE DEAF,15,4.70E+11,Tennessee School for the Deaf Nashville,k.baggett@tsdeaf.org,Principal: Kim Baggett,A,State Special School,115 Stewarts Ferry PIKE,,,,Nashville,TN,37214,,,,,"PK,K,1,2,3,4",
EAST TENNESSEE CORE REGIONAL OFFICE,620,MONROE COUNTY,32,,Monroe County Virtual School,mcvs@monroek12.org,Principal: Sarah Brown,A,Public Virtual School,266 Warren ST,,,,Madisonville,TN,37354,,(423) 442-2373,,(423) 442-1389,"4,5,6,7,8,9,10,11,12",
EAST TENNESSEE CORE REGIONAL OFFICE,780,SEVIER COUNTY,43,4.70E+11,Pigeon Forge Intermediate,wendypatterson@sevier.org,Principal: Wendy Patterson,A,Public,3003 Jess Wilson ,,,,Pigeon Forge,TN,37863,,,,,"3,4,5,6",
EAST TENNESSEE CORE REGIONAL OFFICE,130,CLAIBORNE COUNTY,10,4.70E+11,Claiborne Virtual Learning Academy,CVLA@claibornecsd.org,Principal: Dr. Early Perkins,A,Public Virtual School,1403 Tazewell RD,,,,Tazewell,TN,37879,,,,(425) 626-5945,"K,1,2,3,4,5,6,7,8,9,10,11,12",
EAST TENNESSEE CORE REGIONAL OFFICE,531,LENOIR CITY,35,4.70E+11,The iLearn Institute at Lenoir City Schools,csmallen@lenoircityschools.net,Principal: Dr. Chris M. Smallen,A,Public Virtual School,200 East Broadway ST,,,,Lenoir City,TN,37771,,(865) 988-1934,,(865) 988-6732,"K,1,2,3,4,5,6,7,8,9,10,11,12",
EAST TENNESSEE CORE REGIONAL OFFICE,730,ROANE COUNTY,84,4.70E+11,Roane County Virtual Academy,clockett@roaneschools.com,Principal: Cynthia Lockett,A,Public Virtual School,3096 Roane State HWY,,,,Harriman,TN,37748,,,,(865) 285-1305,"K,1,2,3,4,5,6,7,8,9,10,11,12",
EAST TENNESSEE CORE REGIONAL OFFICE,450,JEFFERSON COUNTY,19,4.70E+11,Jefferson Virtual Academy,dscarlett@jcboe.net,Principal: Deborah Scarlett,A,Public Virtual School,1221 Gay ST,,,,Dandridge,TN,37725,,(865) 397-3194,,,"2,3,4,5,6,7,8,9,10,11,12",
EAST TENNESSEE CORE REGIONAL OFFICE,620,MONROE COUNTY,25,4.70E+11,Madisonville Primary,kylea@monroe.k12.tn.us,Principal: Angie Kyle,A,Public,268  Warren  ST,,,,Madisonville,TN,37354,,(423) 442-2236,,(423) 442-2215,"PK,K,1,2",
EAST TENNESSEE CORE REGIONAL OFFICE,620,MONROE COUNTY,35,4.70E+11,Rural Vale Elementary,hicksd@monroe.k12.tn.us,Principal: Dennis Hicks,A,Public,395 Daugherty  Springs RD,,,,Tellico Plains,TN,37385,,(423) 253-3551,,(423) 253-2009,"K,1,2,3,4,5,6,7,8",
EAST TENNESSEE CORE REGIONAL OFFICE,620,MONROE COUNTY,37,4.70E+11,Sequoyah High School,tiptond@monroe.k12.tn.us,Principal: Debi Tipton,A,Public,3128  Hwy  411 ,,,,Madisonville,TN,37354,,(423) 442-9230,,(423) 442-5520,"9,10,11,12",
EAST TENNESSEE CORE REGIONAL OFFICE,620,MONROE COUNTY,40,4.70E+11,Sweetwater High School,weavere@monroe.k12.tn.us,Principal: Eric Weaver,A,Public,414 South High ST,,,,Sweetwater,TN,37874,,(423) 337-7881,,(423) 337-0685,"9,10,11,12",
EAST TENNESSEE CORE REGIONAL OFFICE,620,MONROE COUNTY,45,4.70E+11,Tellico Plains Elementary,hooperr@monroe.k12.tn.us,Principal: Robert Hooper,A,Public,121 Old  High School RD,,,,Tellico Plains,TN,37385,,(423) 253-2626,,(423) 253-7962,"PK,K,1,2,3,4",
EAST TENNESSEE CORE REGIONAL OFFICE,620,MONROE COUNTY,50,4.70E+11,Tellico Plains High School,harrisr@MONROE.K12.TN.US,Principal: Russell Harris,A,Public,9180 Hwy 68 ,,,,Tellico Plains,TN,37385,,(423) 253-2550,,(423) 253-2541,"9,10,11,12",
EAST TENNESSEE CORE REGIONAL OFFICE,620,MONROE COUNTY,53,4.70E+11,Tellico Plains Junior High School,huntr@monroe.k12.tn.us,Principal: Ruthie Hunt,A,Public,120 Old  High School RD,,,,Tellico Plains,TN,37385,,(423) 253-2250,,(423) 253-7824,"5,6,7,8",
EAST TENNESSEE CORE REGIONAL OFFICE,620,MONROE COUNTY,55,4.70E+11,Vonore Elementary,moreem@monroe.k12.tn.us,Principal: Melissa Moree,A,Public,1135 Hwy 411 ,,,,Vonore,TN,37885,,(423) 884-6485,,(423) 884-6981,"PK,K,1,2,3,4",
EAST TENNESSEE CORE REGIONAL OFFICE,621,SWEETWATER,5,4.70E+11,Brown Intermediate School,angie.kyle@scstn.net,Principal: Angie Kyle,A,Public,135 Starrett ST,,,,Sweetwater,TN,37874,,(423) 337-5905,,(423) 337-0791,"5,6",
EAST TENNESSEE CORE REGIONAL OFFICE,621,SWEETWATER,10,4.70E+11,Sweetwater Elementary,alice.tyler@scstn.net,Principal: Alice Tyler,A,Public,301 Broad ST,,,,Sweetwater,TN,37874,,(423) 337-7062,,(423) 337-7609,"3,4",
EAST TENNESSEE CORE REGIONAL OFFICE,621,SWEETWATER,15,4.70E+11,Sweetwater Jr High School,nicki.nile@scstn.net,Principal: Nick Nile,A,Public,1013 Cannon AVE,,,,Sweetwater,TN,37874,,(423) 337-7336,,(423) 337-7360,"7,8",
EAST TENNESSEE CORE REGIONAL OFFICE,650,MORGAN COUNTY,10,4.70E+11,Central Elementary,knoxz@mcsed.net,Principal: Zandy Knox,A,Public,1315  Knoxville  HWY,,,,Wartburg,TN,37887,,(423) 346-6683,,(423) 346-5556,"PK,K,1,2,3,4,5",
EAST TENNESSEE CORE REGIONAL OFFICE,650,MORGAN COUNTY,15,4.70E+11,Central High School,jonesa2@mcsed.net,Principal: Aaron Jones,A,Public,1119  Knoxville  HWY,,,,Wartburg,TN,37887,,(423) 346-6616,,(423) 346-5665,"9,10,11,12",
EAST TENNESSEE CORE REGIONAL OFFICE,650,MORGAN COUNTY,30,4.70E+11,Coalfield School,murphym@mcsed.net,Principal: Matt Murphy,A,Public,1720  Coalhill  RD,,,,Coalfield,TN,37719,,(865) 435-7332,,(865) 435-2646,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12",
EAST TENNESSEE CORE REGIONAL OFFICE,650,MORGAN COUNTY,46,4.70E+11,Morgan County Career and Technical Center,shoemakerd@mcsed.net,Principal: Dr. Dan Shoemaker,A,Public,132  Flat  Fork RD,,,,Wartburg,TN,37887,,(423) 346-6285,,(423) 346-5857,"9,10,11,12",
EAST TENNESSEE CORE REGIONAL OFFICE,650,MORGAN COUNTY,55,4.70E+11,Oakdale School,snowh@mcsed.net,Principal: Heath Snow,A,Public,225 Clifty Creek RD,,,,Oakdale,TN,37829,,(423) 369-3885,,(423) 369-2821,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12",
EAST TENNESSEE CORE REGIONAL OFFICE,650,MORGAN COUNTY,60,4.70E+11,Petros Joyner Elementary,bunchl@mcsed.net,Principal: Laura Bunch,A,Public,125 Petros Joyner School RD,,,,Oliver Springs,TN,37840,,(423) 324-8600,,(423) 324-2558,"PK,K,1,2,3,4,5,6,7,8",
EAST TENNESSEE CORE REGIONAL OFFICE,650,MORGAN COUNTY,70,4.70E+11,Sunbright School,smithj@mcsed.net,Principal: Julia Smith,A,Public,205  Burrville  RD,,,,Sunbright,TN,37872,,(423) 628-2244,,(423) 628-2120,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12",
EAST TENNESSEE CORE REGIONAL OFFICE,730,ROANE COUNTY,15,4.70E+11,Harriman High School,scalahan@roaneschools.com,Principal: Scott Calahan,A,Public,920 North Roane ST,,,,Harriman,TN,37748,,(865) 882-1821,,(865) 882-6479,"9,10,11,12",
EAST TENNESSEE CORE REGIONAL OFFICE,730,ROANE COUNTY,5,4.70E+11,Cherokee Middle School,rcnarramore@roaneschools.com,Principal: Ryan Narramore,A,Public,200  Paint  Rock Ferry RD,,,,Kingston,TN,37763,,(865) 376-9281,,(865) 376-8525,"6,7,8",
EAST TENNESSEE CORE REGIONAL OFFICE,730,ROANE COUNTY,35,4.70E+11,Kingston Elementary,tthompson@roaneschools.com,Principal: Timothy Thompson,A,Public,2000  Kingston  HWY,,,,Kingston,TN,37763,,(865) 376-5252,,(865) 376-8535,"K,1,2,3,4,5",
EAST TENNESSEE CORE REGIONAL OFFICE,730,ROANE COUNTY,45,4.70E+11,Midtown Elementary,kjinman@roaneschools.com,Principal: Kendra Inman,A,Public,2830  Roane  State HWY,,,,Harriman,TN,37748,,(865) 882-1228,,(865) 882-8165,"K,1,2,3,4,5",
EAST TENNESSEE CORE REGIONAL OFFICE,730,ROANE COUNTY,47,4.70E+11,Midway Elementary,tlangley@roaneschools.com,Principal: Travis Langley,A,Public,130  Laurel  Bluff RD,,,,Kingston,TN,37763,,(865) 376-2341,,(865) 376-8512,"PK,K,1,2,3,4,5",
EAST TENNESSEE CORE REGIONAL OFFICE,730,ROANE COUNTY,50,4.70E+11,Midway High School,csccawood@roaneschools.com,Principal: Christopher Cawood,A,Public,530  Loudon  HWY,,,,Kingston,TN,37763,,(865) 376-5645,,(865) 376-8516,"9,10,11,12",
EAST TENNESSEE CORE REGIONAL OFFICE,730,ROANE COUNTY,60,4.70E+11,Oliver Springs Middle,pmwright@roaneschools.com ,Principal: Paige Wright,A,Public,317 Roane ST,,,,Oliver Springs,TN,37840,,(865) 435-0011,,(865) 435-1621,"6,7,8",
